Time	Lead II
0	0
0.01	0
0.02	0
0.03	0
0.04	0
0.05	0
0.06	0
0.07	0
0.08	0
0.09	0
0.1	0
0.11	0
0.12	0
0.13	0
0.14	0
0.15	0
0.16	0
0.17	0
0.18	0
0.19	0
0.2	0
0.21	0
0.22	0
0.23	0
0.24	0
0.25	0
0.26	0
0.27	0
0.28	0
0.29	0
0.3	0
0.31	0
0.32	0
0.33	0
0.34	0
0.35	0
0.36	0
0.37	0
0.38	0
0.39	0
0.4	0
0.41	0
0.42	0
0.43	0
0.44	0
0.45	0
0.46	0
0.47	0
0.48	0
0.49	0
0.5	0
0.51	0
0.52	0
0.53	0
0.54	0
0.55	0
0.56	0
0.57	0
0.58	0
0.59	0
0.6	0
0.61	0
0.62	0
0.63	0
0.64	0
0.65	0
0.66	0
0.67	0
0.68	0
0.69	0
0.7	0
0.71	0
0.72	0
0.73	0
0.74	0
0.75	0
0.76	0
0.77	0
0.78	0
0.79	0
0.8	0
0.81	0
0.82	0
0.83	0
0.84	0
0.85	0
0.86	0
0.87	0
0.88	0
0.89	0
0.9	0
0.91	0
0.92	0
0.93	0
0.94	0
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
1	0
1.01	0
1.02	0
1.03	0
1.04	0
1.05	0
1.06	0
1.07	0
1.08	0
1.09	0
1.1	0
1.11	0
1.12	0
1.13	0
1.14	0
1.15	0
1.16	0
1.17	0
1.18	0
1.19	0
1.2	0
1.21	0
1.22	0
1.23	0
1.24	0
1.25	0
1.26	0
1.27	0
1.28	0
1.29	0
1.3	0
1.31	0
1.32	0
1.33	0
1.34	0
1.35	0
1.36	0
1.37	0
1.38	0
1.39	0
1.4	0
1.41	0
1.42	0
1.43	0
1.44	0
1.45	0
1.46	0
1.47	0
1.48	0
1.49	0
1.5	0
1.51	0
1.52	0
1.53	0
1.54	0
1.55	0
1.56	0
1.57	0
1.58	0
1.59	0
1.6	0
1.61	0
1.62	0
1.63	0
1.64	0
1.65	0
1.66	0
1.67	0
1.68	0
1.69	0
1.7	0
1.71	0
1.72	0
1.73	0
1.74	0
1.75	0
1.76	0
1.77	0
1.78	0
1.79	0
1.8	0
1.81	0
1.82	0
1.83	0
1.84	0
1.85	0
1.86	0
1.87	0
1.88	0
1.89	0
1.9	0
1.91	0
1.92	0
1.93	0
1.94	0
1.95	0
1.96	0
1.97	0
1.98	0
1.99	0
2	0.00189442
2.01	0.0269936
2.02	0.0186573
2.03	0.00528054
2.04	0.00238342
2.05	0.0360573
2.06	0.0590474
2.07	0.0574443
2.08	0.0495467
2.09	0.0233507
2.1	0.00640917
2.11	-0.0269474
2.12	-0.0573946
2.13	-0.06357
2.14	-0.07622
2.15	-0.096394
2.16	-0.113321
2.17	0.00868491
2.18	0.374047
2.19	0.64223
2.2	0.496418
2.21	0.191879
2.22	0.005488
2.23	-0.0495216
2.24	-0.0659213
2.25	-0.0571191
2.26	-0.0513546
2.27	-0.059835
2.28	-0.0689535
2.29	-0.078145
2.3	-0.068339
2.31	-0.0641127
2.32	-0.0570579
2.33	-0.0336142
2.34	-0.0354443
2.35	-0.0440479
2.36	-0.0418829
2.37	-0.0258391
2.38	-0.011182
2.39	-0.00468062
2.4	0.00241664
2.41	0.0207746
2.42	0.0264093
2.43	0.038086
2.44	0.0631534
2.45	0.0960097
2.46	0.119455
2.47	0.142741
2.48	0.16201
2.49	0.135167
2.5	0.103763
2.51	0.0672541
2.52	0.0251389
2.53	-0.0116994
2.54	-0.0326655
2.55	-0.0374734
2.56	-0.0455907
2.57	-0.0424575
2.58	-0.034207
2.59	-0.0399685
2.6	-0.0481548
2.61	-0.0507941
2.62	-0.0569939
2.63	-0.0512316
2.64	-0.0441106
2.65	-0.0306765
2.66	-0.026269
2.67	-0.0278646
2.68	-0.0231008
2.69	-0.0354468
2.7	-0.0442605
2.71	-0.043397
2.72	-0.031975
2.73	-0.0249307
2.74	-0.0465205
2.75	-0.0546586
2.76	-0.04422
2.77	-0.0343499
2.78	-0.0291748
2.79	-0.0401761
2.8	-0.0468555
2.81	-0.0596363
2.82	-0.0637904
2.83	-0.0499727
2.84	-0.0507552
2.85	-0.0518906
2.86	-0.0525166
2.87	-0.0688216
2.88	-0.0605422
2.89	-0.0587884
2.9	-0.0566943
2.91	-0.0641229
2.92	-0.0625895
2.93	-0.0526765
2.94	-0.0661707
2.95	-0.0697007
2.96	-0.0682156
2.97	-0.0634318
2.98	-0.0508832
2.99	-0.0375688
3	-0.0181821
3.01	-0.00579179
3.02	0.00998524
3.03	0.024298
3.04	0.0335347
3.05	0.0581802
3.06	0.0471987
3.07	0.0111816
3.08	-0.0282059
3.09	-0.06027
3.1	-0.0689898
3.11	-0.0760424
3.12	-0.0926631
3.13	-0.105942
3.14	-0.00290084
3.15	0.347442
3.16	0.633374
3.17	0.514706
3.18	0.219594
3.19	0.0216368
3.2	-0.0418489
3.21	-0.0671986
3.22	-0.0753268
3.23	-0.0769389
3.24	-0.0672015
3.25	-0.0475614
3.26	-0.0518072
3.27	-0.055361
3.28	-0.0420215
3.29	-0.046739
3.3	-0.0443838
3.31	-0.0414385
3.32	-0.0317241
3.33	-0.0183975
3.34	-0.0236097
3.35	-0.0213632
3.36	-0.0108391
3.37	0.00284016
3.38	0.0181289
3.39	0.0250819
3.4	0.0472801
3.41	0.0743135
3.42	0.106446
3.43	0.127841
3.44	0.134155
3.45	0.153149
3.46	0.141783
3.47	0.10546
3.48	0.0723199
3.49	0.0272723
3.5	-0.0118698
3.51	-0.0296106
3.52	-0.0223678
3.53	-0.0165909
3.54	-0.0362812
3.55	-0.040908
3.56	-0.0507064
3.57	-0.0739394
3.58	-0.0625976
3.59	-0.0526402
3.6	-0.0304029
3.61	-0.0256013
3.62	-0.0305687
3.63	-0.031735
3.64	-0.0484868
3.65	-0.0396855
3.66	-0.0321495
3.67	-0.0352826
3.68	-0.0305389
3.69	-0.0179509
3.7	-0.0104864
3.71	-0.0266318
3.72	-0.036833
3.73	-0.0340769
3.74	-0.0331255
3.75	-0.0343687
3.76	-0.0576038
3.77	-0.0596225
3.78	-0.0395752
3.79	-0.0550071
3.8	-0.0479885
3.81	-0.0327933
3.82	-0.0291122
3.83	-0.0328154
3.84	-0.0584306
3.85	-0.0591779
3.86	-0.0561197
3.87	-0.064239
3.88	-0.0450183
3.89	-0.0297873
3.9	-0.0318175
3.91	-0.0407567
3.92	-0.0420668
3.93	-0.0529722
3.94	-0.0676754
3.95	-0.0518609
3.96	-0.0327162
3.97	-0.0330301
3.98	-0.0135687
3.99	0.00704588
4	0.0230255
4.01	0.023067
4.02	0.036086
4.03	0.060375
4.04	0.0461956
4.05	0.0117664
4.06	-0.0369383
4.07	-0.0624751
4.08	-0.0633872
4.09	-0.0867607
4.1	-0.108284
4.11	-0.128829
4.12	-0.0425109
4.13	0.297512
4.14	0.627792
4.15	0.563156
4.16	0.259997
4.17	0.0469282
4.18	-0.030269
4.19	-0.0692782
4.2	-0.0839112
4.21	-0.0785976
4.22	-0.0687113
4.23	-0.0558609
4.24	-0.063072
4.25	-0.0624359
4.26	-0.0582393
4.27	-0.0589349
4.28	-0.0569787
4.29	-0.0632216
4.3	-0.0435966
4.31	-0.0195385
4.32	-0.0138731
4.33	-0.010599
4.34	-0.0186171
4.35	-0.00378198
4.36	0.0171307
4.37	0.0304202
4.38	0.0526877
4.39	0.0800723
4.4	0.11335
4.41	0.137838
4.42	0.152325
