Time	Lead II
0	0
0.01	0
0.02	0
0.03	0
0.04	0
0.05	0
0.06	0
0.07	0
0.08	0
0.09	0
0.1	0
0.11	0
0.12	0
0.13	0
0.14	0
0.15	0
0.16	0
0.17	0
0.18	0
0.19	0
0.2	0
0.21	0
0.22	0
0.23	0
0.24	0
0.25	0
0.26	0
0.27	0
0.28	0
0.29	0
0.3	0
0.31	0
0.32	0
0.33	0
0.34	0
0.35	0
0.36	0
0.37	0
0.38	0
0.39	0
0.4	0
0.41	0
0.42	0
0.43	0
0.44	0
0.45	0
0.46	0
0.47	0
0.48	0
0.49	0
0.5	0
0.51	0
0.52	0
0.53	0
0.54	0
0.55	0
0.56	0
0.57	0
0.58	0
0.59	0
0.6	0
0.61	0
0.62	0
0.63	0
0.64	0
0.65	0
0.66	0
0.67	0
0.68	0
0.69	0
0.7	0
0.71	0
0.72	0
0.73	0
0.74	0
0.75	0
0.76	0
0.77	0
0.78	0
0.79	0
0.8	0
0.81	0
0.82	0
0.83	0
0.84	0
0.85	0
0.86	0
0.87	0
0.88	0
0.89	0
0.9	0
0.91	0
0.92	0
0.93	0
0.94	0
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
1	0
1.01	0
1.02	0
1.03	0
1.04	0
1.05	0
1.06	0
1.07	0
1.08	0
1.09	0
1.1	0
1.11	0
1.12	0
1.13	0
1.14	0
1.15	0
1.16	0
1.17	0
1.18	0
1.19	0
1.2	0
1.21	0
1.22	0
1.23	0
1.24	0
1.25	0
1.26	0
1.27	0
1.28	0
1.29	0
1.3	0
1.31	0
1.32	0
1.33	0
1.34	0
1.35	0
1.36	0
1.37	0
1.38	0
1.39	0
1.4	0
1.41	0
1.42	0
1.43	0
1.44	0
1.45	0
1.46	0
1.47	0
1.48	0
1.49	0
1.5	0
1.51	0
1.52	0
1.53	0
1.54	0
1.55	0
1.56	0
1.57	0
1.58	0
1.59	0
1.6	0
1.61	0
1.62	0
1.63	0
1.64	0
1.65	0
1.66	0
1.67	0
1.68	0
1.69	0
1.7	0
1.71	0
1.72	0
1.73	0
1.74	0
1.75	0
1.76	0
1.77	0
1.78	0
1.79	0
1.8	0
1.81	0
1.82	0
1.83	0
1.84	0
1.85	0
1.86	0
1.87	0
1.88	0
1.89	0
1.9	0
1.91	0
1.92	0
1.93	0
1.94	0
1.95	0
1.96	0
1.97	0
1.98	0
1.99	0
2	-0.0297409
2.01	0.79247
2.02	1.29345
2.03	0.759202
2.04	0.0168704
2.05	0.449352
2.06	0.520482
2.07	0.524914
2.08	0.369982
2.09	-0.101886
2.1	0.101318
2.11	-0.148216
2.12	-0.0936777
2.13	0.0330309
2.14	-0.218756
2.15	0.0828498
2.16	-0.135604
2.17	-0.0810869
2.18	0.0413397
2.19	-0.206836
2.2	0.101393
2.21	-0.11806
2.22	-0.059567
2.23	0.0762027
2.24	-0.170495
2.25	0.133807
2.26	-0.0775365
2.27	-0.00258327
2.28	0.14248
2.29	-0.0978553
2.3	0.234208
2.31	0.041451
2.32	0.108784
2.33	0.250645
2.34	-0.000979954
2.35	0.279649
2.36	0.0248212
2.37	0.0433766
2.38	0.137972
2.39	-0.155782
2.4	0.12069
2.41	-0.104049
2.42	-0.0487719
2.43	0.0796632
2.44	-0.186893
2.45	0.10669
2.46	-0.105747
2.47	-0.0487229
2.48	0.0799738
2.49	-0.184326
2.5	0.112503
2.51	-0.099524
2.52	-0.044904
2.53	0.0945774
2.54	-0.166892
2.55	0.121793
2.56	-0.0997398
2.57	-0.0550668
2.58	0.0785031
2.59	-0.189659
2.6	0.102851
2.61	-0.108496
2.62	-0.0571933
2.63	0.0770169
2.64	-0.196683
2.65	0.0976735
2.66	-0.109175
2.67	-0.0658949
2.68	0.0641349
2.69	-0.204507
2.7	0.0969579
2.71	-0.106304
2.72	-0.0645251
2.73	0.0672905
2.74	-0.201819
2.75	0.0999825
2.76	-0.102146
2.77	-0.0544652
2.78	0.0815061
2.79	-0.19611
2.8	0.096667
2.81	-0.0964837
2.82	-0.0359704
2.83	0.12194
2.84	-0.140701
2.85	0.152527
2.86	-0.0597573
2.87	-0.0283414
2.88	0.106742
2.89	-0.172845
2.9	0.0979951
2.91	-0.130882
2.92	-0.101123
2.93	0.0359402
2.94	-0.258343
2.95	0.044745
2.96	0.0465357
2.97	0.478555
2.98	0.79543
2.99	0.321187
3	0.337485
3.01	-0.0333252
3.02	-0.0630886
3.03	0.0635855
3.04	-0.212812
3.05	0.0776873
3.06	-0.122342
3.07	-0.084733
3.08	0.0607672
3.09	-0.214734
3.1	0.082765
3.11	-0.109183
3.12	-0.0667137
3.13	0.0877276
3.14	-0.185137
3.15	0.107684
3.16	-0.0894324
3.17	-0.0458321
3.18	0.117995
3.19	-0.137274
3.2	0.179546
3.21	0.00371544
3.22	0.0595609
3.23	0.231589
3.24	-0.0205488
3.25	0.284717
3.26	0.0835036
3.27	0.093491
3.28	0.208289
3.29	-0.106523
3.3	0.148096
3.31	-0.0697706
3.32	-0.0520714
3.33	0.0909467
3.34	-0.190102
3.35	0.0980884
3.36	-0.0988287
3.37	-0.0695732
3.38	0.0806074
3.39	-0.201568
3.4	0.0846316
3.41	-0.106956
3.42	-0.0798713
3.43	0.0737279
3.44	-0.201701
3.45	0.0911733
3.46	-0.0981912
3.47	-0.0708555
3.48	0.0855191
3.49	-0.185094
3.5	0.104357
3.51	-0.0936449
3.52	-0.0759917
3.53	0.0789199
3.54	-0.196198
3.55	0.094774
3.56	-0.0937566
3.57	-0.0702454
3.58	0.0870674
3.59	-0.190936
3.6	0.0970755
3.61	-0.101019
3.62	-0.171473
3.63	-0.108335
3.64	-0.143127
3.65	0.183417
3.66	-0.12148
3.67	-0.0213262
3.68	0.0314512
3.69	-0.187403
3.7	0.110801
3.71	-0.142272
3.72	-0.0125444
3.73	0.0412006
3.74	-0.177256
3.75	0.122866
3.76	-0.131363
3.77	0.0116349
3.78	0.0923237
3.79	-0.118211
3.8	0.182319
3.81	-0.0797015
3.82	0.031867
3.83	0.0809109
3.84	-0.157326
3.85	0.114853
3.86	-0.163459
3.87	-0.0553318
3.88	0.000467176
3.89	-0.243997
3.9	0.0497672
3.91	-0.0343623
3.92	0.47248
3.93	0.766501
3.94	0.377397
3.95	0.377506
3.96	-0.0758849
3.97	-0.0365397
3.98	0.00739924
3.99	-0.218253
4	0.0787413
4.01	-0.177551
4.02	-0.0541149
4.03	0.0123266
4.04	-0.214422
4.05	0.0862921
4.06	-0.15649
4.07	-0.0237868
4.08	0.0490147
4.09	-0.17773
4.1	0.121999
4.11	-0.129729
4.12	-0.0100646
4.13	0.06827
4.14	-0.137938
4.15	0.182532
4.16	-0.0516557
4.17	0.083756
4.18	0.177333
4.19	-0.0243763
4.2	0.288876
4.21	0.0421081
4.22	0.148272
4.23	0.186799
4.24	-0.078962
4.25	0.18945
4.26	-0.0887184
4.27	0.00313158
4.28	0.0589921
4.29	-0.179486
4.3	0.112751
4.31	-0.141531
4.32	-0.0310815
4.33	0.0407471
4.34	-0.188668
4.35	0.113487
4.36	-0.136219
4.37	-0.0235546
4.38	0.0509496
4.39	-0.181867
4.4	0.116704
4.41	-0.133856
4.42	-0.0253503
4.43	0.0517755
4.44	-0.177634
4.45	0.124503
4.46	-0.128427
4.47	-0.025703
4.48	0.0478474
4.49	-0.185833
4.5	0.114616
4.51	-0.13109
4.52	-0.0259661
4.53	0.0438563
4.54	-0.192959
