Time	Lead II
0	0
0.01	0
0.02	0
0.03	0
0.04	0
0.05	0
0.06	0
0.07	0
0.08	0
0.09	0
0.1	0
0.11	0
0.12	0
0.13	0
0.14	0
0.15	0
0.16	0
0.17	0
0.18	0
0.19	0
0.2	0
0.21	0
0.22	0
0.23	0
0.24	0
0.25	0
0.26	0
0.27	0
0.28	0
0.29	0
0.3	0
0.31	0
0.32	0
0.33	0
0.34	0
0.35	0
0.36	0
0.37	0
0.38	0
0.39	0
0.4	0
0.41	0
0.42	0
0.43	0
0.44	0
0.45	0
0.46	0
0.47	0
0.48	0
0.49	0
0.5	0
0.51	0
0.52	0
0.53	0
0.54	0
0.55	0
0.56	0
0.57	0
0.58	0
0.59	0
0.6	0
0.61	0
0.62	0
0.63	0
0.64	0
0.65	0
0.66	0
0.67	0
0.68	0
0.69	0
0.7	0
0.71	0
0.72	0
0.73	0
0.74	0
0.75	0
0.76	0
0.77	0
0.78	0
0.79	0
0.8	0
0.81	0
0.82	0
0.83	0
0.84	0
0.85	0
0.86	0
0.87	0
0.88	0
0.89	0
0.9	0
0.91	0
0.92	0
0.93	0
0.94	0
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
1	0
1.01	0
1.02	0
1.03	0
1.04	0
1.05	0
1.06	0
1.07	0
1.08	0
1.09	0
1.1	0
1.11	0
1.12	0
1.13	0
1.14	0
1.15	0
1.16	0
1.17	0
1.18	0
1.19	0
1.2	0
1.21	0
1.22	0
1.23	0
1.24	0
1.25	0
1.26	0
1.27	0
1.28	0
1.29	0
1.3	0
1.31	0
1.32	0
1.33	0
1.34	0
1.35	0
1.36	0
1.37	0
1.38	0
1.39	0
1.4	0
1.41	0
1.42	0
1.43	0
1.44	0
1.45	0
1.46	0
1.47	0
1.48	0
1.49	0
1.5	0
1.51	0
1.52	0
1.53	0
1.54	0
1.55	0
1.56	0
1.57	0
1.58	0
1.59	0
1.6	0
1.61	0
1.62	0
1.63	0
1.64	0
1.65	0
1.66	0
1.67	0
1.68	0
1.69	0
1.7	0
1.71	0
1.72	0
1.73	0
1.74	0
1.75	0
1.76	0
1.77	0
1.78	0
1.79	0
1.8	0
1.81	0
1.82	0
1.83	0
1.84	0
1.85	0
1.86	0
1.87	0
1.88	0
1.89	0
1.9	0
1.91	0
1.92	0
1.93	0
1.94	0
1.95	0
1.96	0
1.97	0
1.98	0
1.99	0
2	0.041303
2.01	0.967896
2.02	1.18229
2.03	0.810313
2.04	0.223563
2.05	0.264218
2.06	0.216157
2.07	0.143737
2.08	0.287403
2.09	0.102861
2.1	0.210699
2.11	0.0923497
2.12	0.0194721
2.13	0.174931
2.14	-0.0355652
2.15	0.0397431
2.16	-0.0944469
2.17	-0.206015
2.18	-0.0159611
2.19	-0.179579
2.2	-0.103026
2.21	-0.190873
2.22	-0.242063
2.23	-0.0445784
2.24	-0.211301
2.25	-0.11269
2.26	-0.187822
2.27	-0.245767
2.28	-0.0836024
2.29	-0.246484
2.3	-0.081687
2.31	-0.08224
2.32	-0.114067
2.33	0.0299121
2.34	-0.129036
2.35	-0.0222344
2.36	-0.0774142
2.37	-0.129207
2.38	0.115948
2.39	-0.0488187
2.4	0.10159
2.41	0.160145
2.42	0.120041
2.43	0.236516
2.44	0.00859161
2.45	0.213483
2.46	0.192168
2.47	0.0625702
2.48	0.203568
2.49	-0.0682601
2.5	0.0416513
2.51	-0.0475518
2.52	-0.182276
2.53	-0.02949
2.54	-0.101259
2.55	0.406042
2.56	0.756573
2.57	0.566123
2.58	0.339423
2.59	-0.112331
2.6	-0.0684434
2.61	-0.128068
2.62	-0.208666
2.63	0.0164015
2.64	-0.121032
2.65	0.00780741
2.66	-0.0684815
2.67	-0.21463
2.68	-0.0473196
2.69	-0.217238
2.7	-0.0531359
2.71	-0.106379
2.72	-0.155232
2.73	0.0627998
2.74	-0.162842
2.75	-0.0734676
2.76	-0.0608043
2.77	-0.0892013
2.78	0.103535
2.79	-0.0317556
2.8	0.160574
2.81	0.11446
2.82	-0.0122087
2.83	0.159097
2.84	-0.0531275
2.85	0.05944
2.86	0.0252635
2.87	-0.0902595
2.88	0.0828691
2.89	-0.109245
2.9	-0.00109523
2.91	-0.0346473
2.92	-0.11239
2.93	0.0326207
2.94	-0.200388
2.95	-0.0441874
2.96	-0.0742421
2.97	-0.180977
2.98	-0.00407054
2.99	-0.160606
3	-0.00449516
3.01	-0.0438642
3.02	-0.162518
3.03	0.0160944
3.04	-0.151345
3.05	-0.0399713
3.06	-0.0698812
3.07	-0.141737
3.08	0.0533403
3.09	-0.150571
3.1	-0.0620275
3.11	-0.0921148
3.12	-0.164453
3.13	0.0361151
3.14	-0.170134
3.15	-0.0672255
3.16	-0.0583239
3.17	-0.163744
3.18	0.0170298
3.19	-0.162757
3.2	-0.0466947
3.21	-0.00721681
3.22	-0.0732079
3.23	0.109448
3.24	-0.0719828
3.25	0.0323498
3.26	0.0436277
3.27	-0.0642598
3.28	0.0351016
3.29	-0.174759
3.3	-0.0324021
3.31	-0.0402631
3.32	-0.194371
3.33	0.105115
3.34	0.354709
3.35	0.815906
3.36	0.65816
3.37	0.206013
3.38	0.118254
3.39	-0.183549
3.4	-0.0847661
3.41	-0.0988359
3.42	-0.199854
3.43	0.0303886
3.44	-0.128983
3.45	-0.0694221
3.46	-0.0950564
3.47	-0.172552
3.48	0.0284583
3.49	-0.121197
3.5	-0.00326193
3.51	-0.0078214
3.52	-0.118567
3.53	0.0835211
3.54	-0.0688256
3.55	0.100861
3.56	0.1322
3.57	-0.00836526
3.58	0.191542
3.59	0.0602405
3.6	0.162418
3.61	0.125622
3.62	-0.0239564
3.63	0.120651
3.64	-0.10078
3.65	0.0173964
3.66	0.028445
3.67	-0.118063
3.68	0.031228
3.69	-0.143949
3.7	-0.037152
3.71	-0.0215258
3.72	-0.116817
3.73	0.099676
3.74	-0.0716704
3.75	0.0273264
3.76	0.00703694
3.77	-0.120505
3.78	0.0794689
3.79	-0.0929154
3.8	0.0430044
3.81	0.0762437
3.82	-0.0505302
3.83	0.0906328
3.84	-0.123493
3.85	5.05884e-05
3.86	0.0351492
3.87	-0.0873038
3.88	0.0944024
3.89	-0.0901341
3.9	0.0306079
3.91	0.050813
3.92	-0.32323
3.93	-0.335995
3.94	-0.380916
3.95	-0.0728895
3.96	-0.0561216
3.97	-0.09775
3.98	0.0669557
3.99	-0.136658
4	0.0198604
4.01	-0.0487542
4.02	-0.142321
4.03	0.0136974
4.04	-0.142338
4.05	0.0187583
4.06	-0.0463329
4.07	-0.0820118
4.08	0.0811822
4.09	-0.104539
4.1	0.106372
4.11	0.0901501
4.12	-0.000913333
4.13	0.140313
4.14	-0.0877433
4.15	0.00700376
4.16	-0.0586674
4.17	-0.135119
4.18	0.0245808
4.19	-0.162289
4.2	-0.0354322
4.21	0.0441734
4.22	0.365362
4.23	0.813388
4.24	0.482333
4.25	0.296611
4.26	0.014111
4.27	-0.124033
4.28	0.00157628
4.29	-0.20135
4.3	-0.0402694
4.31	-0.0954449
4.32	-0.184459
4.33	0.00100585
4.34	-0.1674
4.35	-0.0094636
4.36	-0.0285862
4.37	-0.10438
4.38	0.0205504
4.39	-0.140918
4.4	0.0568579
4.41	0.00763829
4.42	-0.0765027
4.43	0.1094
4.44	-0.0174413
4.45	0.175393
4.46	0.133948
4.47	0.0744842
4.48	0.259185
4.49	0.0486763
4.5	0.168982
4.51	0.105263
4.52	-0.0103242
